Date,Confirmed
2021-01-19,6186.0
2021-01-20,6815.0
2021-01-21,6334.0
2021-01-22,6753.0
2021-01-23,6960.0
2021-01-24,6036.0
2021-01-25,3361.0
2021-01-26,6293.0
2021-01-27,5659.0
2021-01-28,5771.0
2021-01-29,6268.0
2021-01-30,6282.0
2021-01-31,5266.0
2021-02-01,3459.0
2021-02-02,5716.0
2021-02-03,6356.0
2021-02-04,6102.0
2021-02-05,5610.0
2021-02-06,5942.0
2021-02-07,6075.0
2021-02-08,3742.0
2021-02-09,5214.0
2021-02-10,5980.0
2021-02-11,5281.0
2021-02-12,5397.0
2021-02-13,5471.0
2021-02-14,4612.0
2021-02-15,2884.0
2021-02-16,4937.0
2021-02-17,4892.0
2021-02-18,4584.0
2021-02-19,4505.0
2021-02-20,4650.0
2021-02-21,4070.0
2021-02-22,2212.0
2021-02-23,4034.0
2021-02-24,4106.0
2021-02-25,3677.0
2021-02-26,3671.0
2021-02-27,3792.0
2021-02-28,3254.0
2021-03-01,1938.0
2021-03-02,2938.0
2021-03-03,2765.0
2021-03-04,2616.0
2021-03-05,2776.0
2021-03-06,2791.0
2021-03-07,2100.0
2021-03-08,1412.0
2021-03-09,2316.0
2021-03-10,2475.0
2021-03-11,2133.0
2021-03-12,1780.0
2021-03-13,2035.0
2021-03-14,1792.0
2021-03-15,1054.0
2021-03-16,1970.0
2021-03-17,2098.0
2021-03-18,1899.0
2021-03-19,1984.0
2021-03-20,2078.0
2021-03-21,1875.0
2021-03-22,1239.0
2021-03-23,1985.0
2021-03-24,2456.0
2021-03-25,1989.0
2021-03-26,1825.0
2021-03-27,2055.0
2021-03-28,2216.0
2021-03-29,1549.0
2021-03-30,2389.0
2021-03-31,2653.0
2021-04-01,2798.0
2021-04-02,2508.0
2021-04-03,2541.0
2021-04-04,2802.0
2021-04-05,2357.0
2021-04-06,3502.0
2021-04-07,3502.0
2021-04-08,4353.0
2021-04-09,5063.0
2021-04-10,6194.0
2021-04-11,6986.0
2021-04-12,5692.0
2021-04-13,7515.0
2021-04-14,8778.0
2021-04-15,8126.0
2021-04-16,10031.0
2021-04-17,13835.0
2021-04-18,18257.0
2021-04-19,13644.0
2021-04-20,19577.0
2021-04-21,22414.0
2021-04-22,26995.0
2021-04-23,28447.0
2021-04-24,26685.0
2021-04-25,28469.0
2021-04-26,21890.0
2021-04-27,32819.0
2021-04-28,35013.0
2021-04-29,38607.0
2021-04-30,37199.0
2021-05-01,35636.0
2021-05-02,31959.0
2021-05-03,26011.0
2021-05-04,37190.0
2021-05-05,41953.0
2021-05-06,42464.0
2021-05-07,38460.0
2021-05-08,41971.0
2021-05-09,35801.0
2021-05-10,27487.0
2021-05-11,37290.0
2021-05-12,43529.0
